Drug: #;Word;Tag
;blister;O
;);O
;enterotabletter;FORM
Drug: 2999;nicotinell;NAME
;lakrids;NAME
;4;STRENGTH
;mg;STRENGTH
;24;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;medicinsk;FORM
;tyggegummi;FORM
Drug: 3000;carvedilol;NAME
;aurobindo;O
;6;STRENGTH
;,;O
;25;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3001;diural;NAME
;40;STRENGTH
;mg;STRENGTH
;300;PACK
;stk;PACK
;.;PACK
;tabletter;FORM
Drug: 3002;diprophos;NAME
;7;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;1;PACK
;ml;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;suspension;FORM
Drug: 3003;rasilez;NAME
;300;STRENGTH
;mg;STRENGTH
;98;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;(;O
;orifarm;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3004;aripiprazol;NAME
;krka;O
;5;STRENGTH
;mg;STRENGTH
;50;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tabletter;FORM
Drug: 3005;tecfidera;NAME
;120;STRENGTH
;mg;STRENGTH
;14;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;(;O
;abacus;O
;);O
;enterokapsler;FORM
;,;O
;hårde;FORM
Drug: 3006;inflacam;NAME
;1;STRENGTH
;,;O
;5;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;42;PACK
;ml;PACK
;oral;FORM
;suspension;FORM
Drug: 3007;fycompa;NAME
;2;STRENGTH
;mg;STRENGTH
;7;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;(;O
;orifarm;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3008;calciject;NAME
;40;NAME
;vet;NAME
;.;NAME
;30;STRENGTH
;mg;STRENGTH
;ca;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;+;STRENGTH
;65;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;12;PACK
;x;PACK
;500;PACK
;ml;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opløsning;FORM
Drug: 3009;gentacoll;NAME
;1;STRENGTH
;,;O
;3;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;cm2;STRENGTH
;1;PACK
;stk;PACK
;.;PACK
;(;O
;20;PACK
;x;PACK
;5;PACK
;cm;O
;);O
;implantat;FORM
Drug: 3010;metocar;NAME
;100;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tabletter;FORM
Drug: 3011;methadon;NAME
;alternova;O
;5;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tabletter;FORM
Drug: 3012;lamisil;NAME
;10;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;g;STRENGTH
;30;PACK
;g;PACK
;creme;FORM
Drug: 3013;levetiracetam;NAME
;amneal;O
;100;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;300;PACK
;ml;PACK
;oral;FORM
;opløsning;FORM
Drug: 3014;apozepam;NAME
;5;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;tabletter;FORM
Drug: 3015;tramadol;NAME
;retard;O
;hexal;O
;100;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;depottabletter;FORM
Drug: 3016;tramadol;NAME
;retard;O
;actavis;O
;100;STRENGTH
;mg;STRENGTH
;20;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;depottabletter;FORM
Drug: 3017;tobi;NAME
;podhaler;NAME
;28;STRENGTH
;mg;STRENGTH
;224;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;(;O
;orifarm;O
;);O
;inhal;FORM
;.;FORM
;pulv;FORM
;.;FORM
;,;O
;hård;FORM
;kap;FORM
Drug: 3018;magnesia;NAME
;medic;O
;500;STRENGTH
;mg;STRENGTH
;40;PACK
;stk;PACK
;.;PACK
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3019;dropizol;NAME
;10;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;10;PACK
;ml;PACK
;orale;FORM
;dråber;FORM
;,;O
;opløsn;FORM
Drug: 3020;oxycontin;NAME
;30;STRENGTH
;mg;STRENGTH
;28;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;depottabletter;FORM
Drug: 3021;attentin;NAME
;5;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tabletter;FORM
Drug: 3022;toviaz;NAME
;4;STRENGTH
;mg;STRENGTH
;84;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;depottabletter;FORM
Drug: 3023;levocetirizindihydrochl;NAME
;.;NAME
;stada;NAME
;5;STRENGTH
;mg;STRENGTH
;10;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3024;levetiracetam;NAME
;medical;O
;valley;O
;500;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3025;esomeprazol;NAME
;sandoz;O
;20;STRENGTH
;mg;STRENGTH
;56;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;enterotabletter;FORM
Drug: 3026;valsartore;NAME
;comp;NAME
;80;STRENGTH
;+;STRENGTH
;12;STRENGTH
;,;O
;5;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3027;fentanyl;NAME
;hameln;O
;50;STRENGTH
;mikrogram;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;1;PACK
;x;PACK
;50;PACK
;ml;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opløsning;FORM
Drug: 3028;amlodipin;NAME
;sandoz;O
;5;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tabletter;FORM
Drug: 3029;topimax;NAME
;25;STRENGTH
;mg;STRENGTH
;60;PACK
;stk;PACK
;.;PACK
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3030;atenolol;NAME
;orifarm;O
;50;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tabletter;FORM
Drug: 3031;pergoveris;NAME
;150;STRENGTH
;+;STRENGTH
;75;STRENGTH
;i;STRENGTH
;.;STRENGTH
;e;STRENGTH
;.;STRENGTH
;1;PACK
;sæt;PACK
;(;O
;orifarm;O
;);O
;pulv;FORM
;.;FORM
;og;FORM
;sol;FORM
;.;FORM
;t;FORM
;.;FORM
;inj;FORM
;.;FORM
;op;FORM
Drug: 3032;victoza;NAME
;6;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;2;PACK
;stk;PACK
;.;PACK
;(;O
;paranova;O
;);O
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opl;FORM
;.;FORM
;,;O
;pen;FORM
Drug: 3033;normix;NAME
;200;STRENGTH
;mg;STRENGTH
;12;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3034;ibuprofen;NAME
;teva;O
;400;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3035;alk;NAME
;731;NAME
;reje;NAME
;1;STRENGTH
;:;STRENGTH
;20;STRENGTH
;w;STRENGTH
;/;STRENGTH
;v;STRENGTH
;2;PACK
;ml;PACK
;opl;FORM
;.;FORM
;t;FORM
;.;FORM
;prikt;FORM
;.;FORM
;(;O
;solup;FORM
;.;FORM
;);O
Drug: 3036;norvasc;NAME
;5;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;tabletter;FORM
Drug: 3037;atorvastatin;NAME
;krka;O
;10;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3038;inlyta;NAME
;3;STRENGTH
;mg;STRENGTH
;56;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3039;flebogamma;NAME
;dif;NAME
;100;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;1;PACK
;stk;PACK
;.;PACK
;(;O
;100;PACK
;ml;PACK
;);O
;inf;FORM
;.;FORM
;væske;FORM
;,;O
;opløsning;FORM
Drug: 3040;zolpidem;NAME
;hexal;O
;10;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3041;omeprazol;NAME
;medical;O
;valley;O
;10;STRENGTH
;mg;STRENGTH
;56;PACK
;stk;PACK
;.;PACK
;enterokapsler;FORM
;,;O
;hårde;FORM
Drug: 3042;vastarel;NAME
;20;STRENGTH
;mg;STRENGTH
;60;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3043;zingovet;NAME
;1000;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;g;STRENGTH
;25;PACK
;kg;PACK
;oralt;FORM
;pulver;FORM
Drug: 3044;oxis;NAME
;turbohaler;NAME
;9;STRENGTH
;mikrogram;STRENGTH
;/;STRENGTH
;dosis;STRENGTH
;60;PACK
;doser;PACK
;inhalationspulver;FORM
Drug: 3045;tagrisso;NAME
;40;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3046;fortamol;NAME
;28;STRENGTH
;,;O
;7;STRENGTH
;+;STRENGTH
;400;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tabletter;FORM
Drug: 3047;metex;NAME
;pen;NAME
;10;STRENGTH
;mg;STRENGTH
;6;PACK
;stk;PACK
;.;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opl;FORM
;.;FORM
;,;O
;pen;FORM
Drug: 3048;novorapid;NAME
;penfill;NAME
;100;STRENGTH
;e;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;5;PACK
;x;PACK
;3;PACK
;ml;PACK
;(;O
;orifarm;O
;);O
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opløsning;FORM
Drug: 3049;coxofen;NAME
;100;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;100;PACK
;ml;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opløsning;FORM
Drug: 3050;gabapentin;NAME
;orifarm;O
;400;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;kapsler;FORM
;,;O
;hårde;FORM
Drug: 3051;imaverol;NAME
;vet;NAME
;.;NAME
;100;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;100;PACK
;ml;PACK
;konc;FORM
;.;FORM
;t;FORM
;.;FORM
;kutanopl;FORM
;.;FORM
Drug: 3052;opatanol;NAME
;1;STRENGTH
;mgm;STRENGTH
;5;PACK
;ml;PACK
;(;O
;orifarm;O
;);O
;øjendrb;FORM
;.;FORM
;,;O
;opløsning;FORM
Drug: 3053;innohep;NAME
;10;STRENGTH
;.;STRENGTH
;000;STRENGTH
;anti;STRENGTH
;-;STRENGTH
;xa;STRENGTH
;ie;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;inj;FORM
;.;FORM
;vsk;FORM
;,;O
;opl;FORM
;.;FORM
;,;O
;sprøjte;FORM
Drug: 3054;crestor;NAME
;40;STRENGTH
;mg;STRENGTH
;98;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3055;fluticasonpropionat;NAME
;2;O
;care;NAME
;4;O
;50;STRENGTH
;mikrogram;STRENGTH
;/;STRENGTH
;dosis;STRENGTH
;120;PACK
;doser;PACK
;næsespray;FORM
;,;O
;susp;FORM
;.;FORM
Drug: 3056;tradolan;NAME
;retard;NAME
;100;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;depottabletter;FORM
Drug: 3057;daivonex;NAME
;50;STRENGTH
;rgg;STRENGTH
;90;PACK
;g;PACK
;(;O
;3;PACK
;x;PACK
;30;PACK
;);O
;creme;FORM
Drug: 3058;risperdal;NAME
;1;STRENGTH
;mg;STRENGTH
;20;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3059;balance1;NAME
;,;O
;5;NAME
;%;NAME
;glucos;NAME
;.;NAME
;1;NAME
;,;O
;25;NAME
;mmolca;NAME
;/;NAME
;l;NAME
;4;PACK
;x;PACK
;2500;PACK
;ml;PACK
;staysafe;PACK
;balance;PACK
;periton;FORM
;.;FORM
;dialysevæske;FORM
Drug: 3060;acikure;NAME
;300;STRENGTH
;mg;STRENGTH
;10;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3061;amoxicillin;NAME
;europharma;O
;1000;STRENGTH
;mg;STRENGTH
;14;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3062;bicavera1;NAME
;,;O
;5;NAME
;%;NAME
;gluco;NAME
;,;O
;1;NAME
;,;O
;25;NAME
;mmol;NAME
;/;NAME
;lca;NAME
;4;PACK
;x;PACK
;2500;PACK
;ml;PACK
;stay;PACK
;safe;PACK
;periton;FORM
;.;FORM
;dialysevæske;FORM
Drug: 3063;clopidogrel;NAME
;krka;O
;75;STRENGTH
;mg;STRENGTH
;90;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3064;klopoxid;NAME
;takeda;O
;25;STRENGTH
;mg;STRENGTH
;50;PACK
;stk;PACK
;.;PACK
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3065;airflusan;NAME
;forspiro;NAME
;180;PACK
;doser;PACK
;(;O
;3;PACK
;x;PACK
;60;PACK
;);O
;inhalationspulv;FORM
;,;O
;afd;FORM
Drug: 3066;lomir;NAME
;retard;NAME
;5;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;depotkapsler;FORM
;,;O
;hårde;FORM
Drug: 3067;immunoprin;NAME
;100;STRENGTH
;mg;STRENGTH
;50;PACK
;stk;PACK
;.;PACK
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3068;nobilis;NAME
;paramyxo;NAME
;p201;NAME
;vet;NAME
;.;NAME
;20;PACK
;ml;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;emulsion;FORM
Drug: 3069;irbesartan;NAME
;stada;O
;150;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3070;nicotinell;NAME
;fruit;NAME
;2;STRENGTH
;mg;STRENGTH
;204;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;medicinsk;FORM
;tyggegummi;FORM
Drug: 3071;relvar;NAME
;ellipta;NAME
;30;PACK
;doser;PACK
;(;O
;2;PACK
;care;PACK
;4;PACK
;);O
;inhalationspulv;FORM
;,;O
;afd;FORM
Drug: 3072;forxiga;NAME
;10;STRENGTH
;mg;STRENGTH
;98;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;(;O
;pharmacodan;PACK
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3073;voltaren;NAME
;ophtha;NAME
;1;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;40;PACK
;x;PACK
;0;PACK
;,;O
;3;PACK
;ml;PACK
;øjendrb;FORM
;.;FORM
;,;O
;endosisbeh;FORM
;.;FORM
Drug: 3074;aciclovir;NAME
;pfizer;O
;25;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;5;PACK
;x;PACK
;10;PACK
;ml;PACK
;konc;FORM
;.;FORM
;t;FORM
;.;FORM
;inf;FORM
;.;FORM
;væsk;FORM
;.;FORM
;opl;FORM
;.;FORM
Drug: 3075;hycamtin;NAME
;1;STRENGTH
;mg;STRENGTH
;10;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;kapsler;FORM
;,;O
;hårde;FORM
Drug: 3076;octaplaslg;NAME
;(;O
;0;NAME
;);O
;45;STRENGTH
;-;STRENGTH
;70;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;200;PACK
;ml;PACK
;(;O
;blodtype;O
;0;PACK
;);O
;inf;FORM
;.;FORM
;væske;FORM
;,;O
;opløsning;FORM
Drug: 3077;sinemet;NAME
;12;NAME
;,;O
;5;NAME
;/;NAME
;50;NAME
;50;STRENGTH
;mg;STRENGTH
;+;STRENGTH
;12;STRENGTH
;,;O
;5;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tabletter;FORM
Drug: 3078;dozuril;NAME
;25;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;1;PACK
;l;PACK
;opløsning;FORM
;,;O
;drik;FORM
;.;FORM
;vand;FORM
Drug: 3079;betmiga;NAME
;50;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;(;O
;europharma;O
;);O
;depottabletter;FORM
Drug: 3080;brinzolamide;NAME
;2;O
;care;NAME
;4;O
;10;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;5;PACK
;ml;PACK
;øjendråber;FORM
;,;O
;susp;FORM
;.;FORM
Drug: 3081;diproderm;NAME
;0;STRENGTH
;,;O
;05;STRENGTH
;pc;STRENGTH
;100;PACK
;g;PACK
;creme;FORM
Drug: 3082;efient;NAME
;10;STRENGTH
;mg;STRENGTH
;28;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;(;O
;orifarm;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3083;elvanse;NAME
;40;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;kapsler;FORM
;,;O
;hårde;FORM
Drug: 3084;twinrix;NAME
;voksen;NAME
;1;PACK
;endosisspr;PACK
;.;PACK
;a;PACK
;1;PACK
;ml;PACK
;injektionsvæske;FORM
Drug: 3085;bimatoprost;NAME
;stada;O
;0;STRENGTH
;,;O
;3;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;3;PACK
;x;PACK
;3;PACK
;ml;PACK
;øjendrb;FORM
;.;FORM
;,;O
;opløsning;FORM
Drug: 3086;prednison;NAME
;dak;O
;5;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;tabletter;FORM
Drug: 3087;levodopa;NAME
;/;NAME
;carbi;NAME
;.;NAME
;/;NAME
;entaca;NAME
;.;NAME
;orion;NAME
;100;STRENGTH
;mg;STRENGTH
;+;STRENGTH
;25;STRENGTH
;mg;STRENGTH
;+;STRENGTH
;200;STRENGTH
;mg;STRENGTH
;130;PACK
;stk;PACK
;.;PACK
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3088;cetirizin;NAME
;actavis;O
;10;STRENGTH
;mg;STRENGTH
;7;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3089;berodual;NAME
;50;STRENGTH
;+;STRENGTH
;20;STRENGTH
;mikrog;STRENGTH
;.;STRENGTH
;/;STRENGTH
;pust;STRENGTH
;200;PACK
;doser;PACK
;(;O
;10;PACK
;ml;PACK
;);O
;inhal;FORM
;.;FORM
;spray;FORM
;,;O
;opløsn;FORM
;.;FORM
Drug: 3090;med;NAME
;.;NAME
;oxygen;O
;air;O
;liquide;O
;100;O
;%;NAME
;100;STRENGTH
;%;STRENGTH
;1;PACK
;l;PACK
;(;O
;stål;O
;.;PACK
;);O
;med;FORM
;.;FORM
;gas;FORM
;,;O
;komprim;FORM
;.;FORM
Drug: 3091;tracleer;NAME
;62;STRENGTH
;,;O
;5;STRENGTH
;mg;STRENGTH
;56;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;(;O
;europharmad;PACK
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3092;fycompa;NAME
;6;STRENGTH
;mg;STRENGTH
;28;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;(;O
;abacus;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3093;metadon;NAME
;dak;O
;20;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;tabletter;FORM
Drug: 3094;integrilin;NAME
;2;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;1;PACK
;htgl;PACK
;.;PACK
;a;PACK
;10;PACK
;ml;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opløsning;FORM
Drug: 3095;oxycodone;NAME
;teva;O
;20;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;kapsler;FORM
;,;O
;hårde;FORM
Drug: 3096;citalopram;NAME
;pcd;O
;40;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3097;fluorouracil;NAME
;accord;O
;50;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;100;PACK
;ml;PACK
;inj;FORM
;.;FORM
;-;FORM
;/;FORM
;inf;FORM
;.;FORM
;vsk;FORM
;.;FORM
;,;O
;opl;FORM
;.;FORM
Drug: 3098;tilmovet;NAME
;vet;NAME
;.;NAME
;250;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;960;PACK
;ml;PACK
;konc;FORM
;.;FORM
;til;FORM
;oral;FORM
;opl;FORM
;.;FORM
Drug: 3099;nifedipin;NAME
;alternova;O
;30;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;depottabletter;FORM
Drug: 3100;flixotide;NAME
;250;STRENGTH
;mikrogram;STRENGTH
;/;STRENGTH
;dosis;STRENGTH
;60;PACK
;dos;PACK
;.;PACK
;i;PACK
;diskos;PACK
;inhalationspulver;FORM
Drug: 3101;galantamin;NAME
;2;O
;care;NAME
;4;O
;8;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;depotkapsler;FORM
;,;O
;hårde;FORM
Drug: 3102;abstral;NAME
;200;STRENGTH
;mikrogram;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;resoribl;FORM
;.;FORM
;,;O
;subling;FORM
;.;FORM
Drug: 3103;almotriptan;NAME
;sandoz;O
;12;STRENGTH
;,;O
;5;STRENGTH
;mg;STRENGTH
;12;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3104;crestor;NAME
;10;STRENGTH
;mg;STRENGTH
;28;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3105;unixan;NAME
;300;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;depottabletter;FORM
Drug: 3106;metronidazol;NAME
;2;O
;care;NAME
;4;O
;1;STRENGTH
;%;STRENGTH
;25;PACK
;g;PACK
;creme;FORM
Drug: 3107;pamorelin;NAME
;22;STRENGTH
;,;O
;5;STRENGTH
;mg;STRENGTH
;1;PACK
;sæt;PACK
;dep;FORM
;.;FORM
;inj;FORM
;.;FORM
;vsk;FORM
;.;FORM
;pul;FORM
;.;FORM
;susp;FORM
Drug: 3108;paclitaxel;NAME
;actavis;O
;6;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;1;PACK
;htgl;PACK
;.;PACK
;a;PACK
;16;PACK
;,;O
;7;PACK
;ml;PACK
;konc;FORM
;.;FORM
;t;FORM
;.;FORM
;inf;FORM
;.;FORM
;væsk;FORM
;.;FORM
;opl;FORM
;.;FORM
Drug: 3109;sevelamer;NAME
;sandoz;O
;800;STRENGTH
;mg;STRENGTH
;180;PACK
;stk;PACK
;.;PACK
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3110;dolol;NAME
;50;STRENGTH
;mg;STRENGTH
;20;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;kapsler;FORM
;,;O
;hårde;FORM
Drug: 3111;oxazepam;NAME
;alternova;O
;15;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tabletter;FORM
Drug: 3112;akineton;NAME
;2;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tabletter;FORM
Drug: 3113;zofran;NAME
;2;STRENGTH
;mgm;STRENGTH
;5;PACK
;x;PACK
;2;PACK
;ml;PACK
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opløsning;FORM
Drug: 3114;salofalk;NAME
;1;STRENGTH
;g;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;suppositorier;FORM
Drug: 3115;crestor;NAME
;10;STRENGTH
;mg;STRENGTH
;28;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3116;previcox;NAME
;227;STRENGTH
;mg;STRENGTH
;10;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tyggetabletter;FORM
Drug: 3117;olanzapine;NAME
;mylan;O
;15;STRENGTH
;mg;STRENGTH
;28;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3118;zocor;NAME
;20;STRENGTH
;mg;STRENGTH
;98;PACK
;stk;PACK
;.;PACK
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3119;briviact;NAME
;75;STRENGTH
;mg;STRENGTH
;56;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 3120;cometriq;NAME
;20;STRENGTH
;mg;STRENGTH
;+;STRENGTH
;80;STRENGTH
